objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
5105,142,104,150.083,99.8949
5881,144,116,151.262,103.841
6328,137,97,147.622,102.781
6894,145,110,151.052,105.58
5221,138,90,150.344,101.086
7547,141,109,149.826,108.849
5899,142,100,152.639,106.777
6321,142,102,149.84,99.9119
5886,137,90,147.669,99.2653
5813,142,97,148.315,100.608
5708,143,96,151.755,102.933
6635,141,103,150.107,103.256
4987,139,88,151.486,101.016
6564,137,94,149.216,103.684
6008,141,94,150.702,101.591
5448,136,99,145.541,98.3974
6174,142,98,149.66,99.5075
5116,140,97,147.622,98.019
6011,142,107,152.321,107.099
4269,143,98,154.9,103.488
6121,141,106,152.238,108.998
6692,141,101,147.899,102.982
6289,144,106,152.472,105.934
5281,144,101,152.804,101.636
5686,141,106,150.447,107.212
5473,141,100,150.357,100.888
5975,140,98,147.817,100.182
6510,140,100,148.865,103.772
6100,142,99,148.035,97.996
4608,144,107,153.554,103.304
5530,142,101,151.257,105.991
5771,138,94,150.272,101.572
6008,140,99,147.255,98.6176
6185,144,113,152.961,108.191
5345,139,98,147.676,98.5425
5745,138,100,150.9,102.494
6355,138,99,147.921,103.331
6128,143,103,150.536,105.611
7228,144,111,150.172,104.447
5789,146,102,151.784,101.345
6583,146,119,150.892,104.375
5704,133,99,145.588,102.776
5642,145,106,152.327,105.235
6331,141,101,151.789,106.682
5783,146,117,153.298,105.799
6345,144,106,152.841,104.589
6429,133,97,141.838,94.971
7323,139,100,148.27,104.897
5408,143,98,153.032,101.297
6544,138,98,144.773,98.8258
6069,142,108,150.164,104.923
3250,139,88,152.009,97.983
6804,142,113,151.544,108.346
5854,140,93,147.204,98.7508
5808,143,96,152.654,102.809
6534,137,93,149.259,102.132
6018,137,99,148.093,103.025
7069,142,105,147.533,102.682
6747,142,105,152.817,107.759
5380,140,96,147.46,97.7798
7155,140,99,146.734,102.682
6313,142,97,150.774,101.04
6764,146,127,150.853,105.114
5968,144,105,153.019,105.793
6337,144,109,151.858,104.547
5978,140,99,150.393,103.841
5439,143,100,152.265,106.21
4919,142,101,151.659,102.385
6591,142,100,149.462,103.149
5850,136,96,146.838,101.38
6899,143,113,145.18,99.967
4924,142,99,153.732,106.928
6415,144,116,150.164,105.582
5282,145,104,153.862,104.683
6001,142,105,150.272,103.008
6673,140,101,147.256,103.077
5833,143,97,152.36,100.812
