objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
-9941,148,87,168.714,82.6106
-5338,145,89,162.958,85.8378
-6650,146,87,164.779,83.7528
-13977,144,80,166.813,82.4995
-4944,145,91,164.583,84.016
-10831,146,91,167.026,83.6507
-7464,141,79,159.356,75.3824
-2200,142,94,165.034,87.5045
-14731,144,84,167.409,77.002
-9364,147,86,170.936,83.4084
-7077,144,81,168.243,87.3033
-11629,143,72,164.41,78.965
-10029,142,78,168.392,81.5165
-6834,144,87,162.435,85.3323
-13338,144,79,167.063,78.5756
-9330,139,79,161.615,78.2092
-9517,143,87,162.914,78.6026
-18526,145,77,167.886,77.6987
-9312,145,88,161.822,81.5976
-11531,147,97,166.264,87.1351
-6769,142,85,165.047,84.0761
-10307,144,86,166.121,82.7407
-8114,143,92,166.1,80.7127
-10887,145,80,165.397,78.4545
-8607,147,85,170.051,86.0541
-8279,148,94,170.752,87.6206
-11042,147,83,169.797,83.1011
-10168,146,95,169.229,86.028
-6469,147,89,164.119,84.1331
-7950,148,90,166.167,82.2973
-13174,140,75,164.518,77.8589
-8800,146,86,164.424,83.1101
-11250,146,83,166.138,82.7407
-21687,146,81,172.51,78.0981
-12722,148,93,169.892,89.6186
-14024,146,83,167.564,80.6557
-10443,146,83,171.431,82.9139
-7987,147,94,169.101,83.9179
-12703,146,80,168.012,81.4024
-13829,146,87,170.103,84.6096
-5369,146,92,162.698,80.8569
-17550,144,78,169.36,82.4995
-21126,143,66,169.789,78.8038
-10283,144,81,166.034,83.7508
-7116,141,80,163.909,81.1882
-10010,145,81,169.41,83.1461
-7604,143,85,163.956,80.3093
-14297,146,89,171.22,86.2613
-5403,144,78,162.252,82.7788
-6410,144,88,167.256,84.3273
-11864,147,89,168.251,84.9459
-7203,146,91,168.042,84.041
-6345,148,92,168.039,85.2813
-4145,144,89,154.168,78.9439
-6887,141,82,164.035,83.021
-8631,146,90,168.042,81.6867
-16574,145,85,166.36,81.6486
-12701,144,92,169.421,84.0721
-9778,146,84,168.652,84.5856
-5962,147,98,165.843,87.7337
-9906,148,83,165.018,79.5495
-8509,148,96,167.521,81.7898
-12099,144,83,163.95,80.3453
-9474,148,93,166.802,84.5536
-11153,143,75,170.335,80.1702
-17072,147,87,167.559,80.003
-13236,145,80,168.854,86.6216
-12275,145,89,168.795,86.1481
-5197,147,95,169.344,91.1061
-9229,144,89,167.614,87.6136
-5342,146,95,167.486,89.1892
-6923,143,80,165.407,80.1291
-10533,144,81,167.536,79.3544
-3981,139,87,159.058,80.7928
-5601,142,86,166.38,84.0661
-8667,145,83,164.447,80.6356
-5163,143,91,160.178,82.975
-8820,144,95,165.552,86.6627
-5834,145,88,166.993,85.1882
-9749,143,87,164.414,82.8148
-14347,141,76,165.811,76.7568
-8995,145,85,168.138,84.7838
-11239,144,82,166.839,80.6667
-1847,145,93,164.657,86.4194
-1606,146,88,164.614,81.0661
-9179,144,82,166.929,81.9049
-2943,147,95,162.021,86.5546
-13651,145,80,169.252,80.6567
-5442,147,94,167.213,89.4384
-3409,142,91,163.679,89.968
-7680,146,84,165.013,86.5966
-4195,143,99,157.26,85.3073
-8552,144,94,165.123,82.1752
-6852,145,86,165.918,85.5856
-11257,147,87,168.279,82.004
-18134,146,83,172.047,80.0711
-1351,142,98,158.68,83.5465
-11247,141,75,166.81,80.8749
-10996,143,84,168.568,86.2503
-9657,146,96,165.842,84.1121
-10447,143,87,163.505,78.974
-5116,142,88,166.57,89.1992
-10385,146,75,170.136,80.6116
-11836,141,79,165.86,80.4374
-5671,144,77,166.2,85.0571
-3781,145,82,168.567,87.044
-5085,146,97,168.626,94.7207
-14636,145,81,169.455,84.8198
-5629,139,85,161.938,84.6376
-5884,144,82,166.336,85.3233
-3879,142,92,162.962,82.2012
-2180,141,90,159.202,82.7127
-10842,142,84,166.913,86.2833
-8129,145,86,169.917,88.1061
-3020,142,87,161.532,83.6867
-11847,143,92,167.083,83.8148
-7174,142,86,163.842,83.2332
-14146,144,83,169.433,81.1351
-6697,144,91,164.598,82.004
-14718,148,87,168.274,79.6016
-8800,143,80,164.347,74.5195
-7412,148,85,170.514,86.1331
-8494,146,89,167.136,83.0751
-6222,142,80,163.505,84.7638
-8196,142,83,159.375,74.1391
-5526,143,88,165.909,85.1592
-9099,149,94,169.642,85.964
-14342,147,81,168.49,80.8899
-8660,144,91,164.747,86.5676
-4426,148,95,165.556,86.9249
-14513,147,96,169.564,85.6667
-4872,145,85,166.014,83.023
-14549,146,89,169.527,87.4334
-2206,142,89,162.687,83.8689
-14005,145,85,168.797,79.6366
-12282,149,93,169.648,83.8539
-11434,147,87,168.388,83.3033
-11683,144,82,169.465,82.2503
