objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
16941,151,108,155.908,101.562
18690,153,124,157.871,110.764
17855,152,113,160.15,109.716
17142,152,107,158.935,108.757
17620,153,114,158.947,111.584
17210,152,104,156.88,105.778
16778,154,110,160.167,107.767
17693,151,109,161.783,110.81
18056,152,112,157.882,107.094
16233,152,106,163.478,107.945
17220,152,112,158.789,105.023
17604,155,117,158.739,109.4
18006,149,109,157.042,107.321
17639,152,109,159.172,108.348
18807,152,117,158.549,111.269
16653,151,103,157.505,100.879
17787,152,107,157.218,103.52
18182,154,114,160.93,110.681
18095,152,116,157.43,110.34
17541,155,116,159.236,106.75
17698,154,113,161.055,110.604
17203,156,112,160.435,103.299
18476,153,115,155.631,106.868
17629,154,122,157.384,107.371
17477,152,108,159.323,106.52
18264,153,115,158.967,106.755
17370,151,110,160.542,108.628
17399,146,106,151.237,98.4795
17798,150,113,154.768,106.571
18244,151,112,158.754,109.594
16860,150,107,157.739,105.052
18240,153,111,155.698,104.752
18063,152,111,156.281,106.813
17417,149,113,157.298,107.514
17542,152,113,158.095,106.669
18406,151,115,158.565,111.827
17879,152,109,157.093,108.125
16842,154,112,161.253,108.072
18381,151,112,157.88,109.104
17892,151,115,158.771,109.537
17847,148,115,156.226,111.276
17881,149,107,156.147,105.413
17039,152,110,157.448,102.701
18268,154,124,156.873,106.014
18604,152,118,160.193,111.273
18115,153,115,157.195,106.345
17732,150,106,157.833,106.416
17098,149,101,160.312,105.841
17472,155,115,163.3,108.877
18697,152,118,155.966,108.333
18214,152,120,159.578,109.752
17958,153,120,160.739,113.726
17273,156,113,165.123,109.96
16569,153,101,160.063,104.231
17502,152,108,155.962,103.375
17748,152,109,157.897,105.755
18473,152,113,159.226,111.561
16806,152,113,160.135,108.093
17726,154,114,164.043,109.628
17266,154,104,160.247,105.798
18775,154,126,159.617,113.166
17794,152,108,159.143,109.74
18359,150,108,155.031,103.235
18489,151,111,159.006,110.861
18151,151,111,159.475,108.681
18073,154,119,161.576,110.288
17561,152,116,158.76,106.924
18912,153,108,159.58,110.722
17547,152,103,157.873,107.144
17231,154,117,157.358,105.678
18590,151,118,156.43,110.73
18087,150,103,158.066,107.651
18397,155,123,163.416,113.609
18508,150,113,156.108,109.404
18717,152,114,158.155,111.289
17862,151,109,157.636,102.851
17112,153,114,156.721,104.644
16942,153,105,161.406,110.032
17818,153,116,159.464,110.738
17902,154,114,158.703,108.437
17187,153,109,159.925,107.323
16170,151,105,158.411,99.6436
17583,151,105,157.398,104.165
17192,153,107,160.275,107.647
18033,151,113,157.203,106.813
18654,152,113,158.135,109.998
18363,153,114,157.943,109.171
16923,153,111,158.53,102.218
16102,153,100,159.137,98.972
17746,151,104,160.182,109.506
