objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
12776,97,55,76.4164,39.3433
11275,95,49,74.8909,36.1992
11949,91,43,72.7728,36.6476
12472,91,41,72.8098,37.5616
13741,99,58,74.2492,39.2162
12922,93,50,73.4695,39.2092
12678,91,45,73.2723,38.5936
12274,95,47,74.5766,37.7487
12145,92,47,71.8889,35.7708
12644,94,55,72.3203,37.9009
13275,97,49,75.026,39.6757
12736,92,45,73.8078,39.7077
13590,97,51,75.3544,41.8008
10497,88,49,69.7768,31.1952
12942,93,47,74.1011,38.7898
12802,96,53,73.4855,39.6206
13996,99,56,73.8679,41.6086
12536,90,45,73.025,35.2272
14562,98,60,75.1271,40.979
13133,95,54,73.1111,37.4164
11455,90,44,72.1251,36.8759
13426,95,51,75.5666,41.4915
13409,95,51,73.4194,40.4965
12059,90,46,72.6266,37.0851
12914,90,49,72.0721,38.7427
12403,94,50,70.5425,34.6537
13263,94,50,73.3173,36.2713
13931,95,47,75.4895,41.3614
12574,93,43,73.3203,37.3323
13754,94,50,75.4474,39.7497
11809,93,45,73.8118,38.7317
13922,96,50,75.5706,42.1812
12884,95,53,73.6907,37.2222
13333,96,54,74.2112,40.2362
12145,92,50,73.5596,39.4054
11738,90,43,73.6817,38.3083
12627,93,48,71.7457,36.4525
12554,97,49,75.6627,38.4464
13605,93,53,74.1952,41.8378
14603,96,51,75.996,43.7127
13357,93,49,74.3213,40.6386
13110,95,47,75.3043,39.4945
12758,91,45,70.7758,35.3383
10964,88,41,70.8849,36.3734
13033,93,47,74.966,41.0981
13240,93,50,72.8318,39.6316
12718,96,51,74.5626,38.3183
12105,92,48,74.0891,40.2392
12974,94,51,74.008,38.5055
12571,93,45,72.6817,38.4474
13393,93,48,76.2052,42.039
13759,96,53,74.8008,40.6396
14155,96,58,72.8849,38.6857
12961,93,52,72.3223,37.7958
12889,89,41,73.1892,38.6186
12980,96,47,73.2803,38.1221
13630,95,52,75.3984,42.6927
12954,90,56,71.1652,39.1431
14174,95,53,75.2162,41.1752
12739,94,48,71.9409,35.962
12849,92,44,73.7848,38.2322
11925,92,46,71.1381,36.2242
14382,94,49,75.1431,42.5616
12244,92,50,72.6557,38.6056
10621,93,54,70.4895,38.2923
12416,94,57,70.9129,38.3614
11661,90,50,71.1712,38.007
13221,92,49,73.3273,41.8048
11998,93,53,71.8529,38.3504
13164,96,48,75.2142,39.4374
12155,91,48,74.0821,41.6607
12380,97,52,73.4845,37.9369
13223,94,47,71.8739,36.1221
12105,95,51,70.7938,37.3283
12320,94,51,71.99,36.5385
12133,94,45,73.2372,37.8519
12675,94,50,72.3293,36.9089
13542,95,46,74.5886,38.8819
12429,94,48,73.8458,38.2853
12234,92,45,73.7027,38.2192
13926,93,45,73.4434,37.5195
13136,96,54,74.4134,37.4535
12699,92,54,70.4575,35.6076
13234,94,47,75.7968,40.9059
12219,92,46,73.3534,37.3854
13476,94,46,75.0691,39.5836
13834,93,52,75.0631,41.6436
13041,94,51,74.4484,39.6416
12674,95,50,73.0731,36.2212
11863,95,54,72.2553,37.2853
12389,93,42,74.2102,37.6697
13924,97,57,72.6807,40.4084
13419,92,48,75.1001,42.4835
13638,96,50,73.1962,39.2943
12996,96,49,74.5025,39.6697
13130,95,51,73.034,38.5686
13494,92,45,74.8939,40.4695
13251,93,49,73.3003,37.964
13087,93,52,72.2743,38.4054
12785,92,45,75.4825,40.5576
12602,93,53,72.0531,38.6567
11833,92,50,71.1101,35.7728
13267,98,53,72.006,36.7307
12806,97,60,73.1081,40.2723
12648,96,51,73.8539,37.2032
12518,95,52,73.006,37.5015
12053,94,48,75.7868,42.2893
12629,95,48,74.6737,39.023
12157,91,45,72.3213,36.4214
12399,95,50,72.5936,37.4244
14205,97,57,74.2763,42.6917
12958,94,49,73.8559,37.8789
12344,92,37,74.5516,38.5586
11819,93,52,71.7027,38.2092
12014,95,56,74.3053,36.5365
12428,92,50,74.3544,41.2112
13555,96,55,74.0651,40.1752
14122,97,66,73.2112,40.4585
12304,90,46,73.1411,37.6366
13141,94,53,72.9009,37.7928
13921,92,52,73.4985,42.3113
12374,95,48,72.8699,37.2142
12555,91,48,74.024,39.0671
12497,94,45,76.042,39.02
12886,93,47,74.2703,39.1291
13229,96,52,73.1331,37.7257
12207,92,52,71.4625,37.0901
12053,95,53,74.7267,38.7487
12140,93,46,74.5105,38.6807
13093,93,47,72.6026,38.4154
13531,92,48,74.4394,39.9329
13383,94,50,76.1371,41.5155
12654,92,46,73.3003,39.2963
12837,97,59,74.4985,40.4044
13023,95,56,74.8148,39.047
13076,94,45,74.5726,39.7017
12959,91,54,72.1862,38.4565
11091,94,47,74.7087,38.2072
12781,97,54,74.0531,37.4965
13677,94,44,75.2462,41.2272
12940,94,51,73.1852,38.7558
12406,92,48,73.3704,38.5996
12776,93,46,72.5395,39.3453
13179,94,58,73.5015,40.6406
13896,97,58,72.8188,40.8999
12669,91,41,74.2923,37.991
13307,92,52,73.0691,40.7508
13031,91,48,72.6156,39.02
13421,98,56,74.8208,41.1111
12408,92,44,72.9229,38.8488
11803,90,46,72.7548,38.1642
13184,92,48,72.6747,38.7067
13383,98,47,74.9079,36.6366
13117,94,54,74.3023,40.1361
13248,95,47,74.1822,37.7377
13399,97,50,71.6927,34.5215
13242,92,45,72.5365,39.8168
13790,95,55,73.1311,39.048
11508,91,51,70.2703,36.2442
13107,93,40,75.8589,39.7528
12361,95,48,74.3113,37.3584
13219,95,56,74.4204,41.5055
12607,92,49,74.2482,38.1031
11844,91,44,72.0881,36.1261
13894,93,52,72.5215,40.7578
13080,89,44,74.4464,40.1652
11085,92,40,72.8899,33.4174
12978,91,53,73.1572,40.1812
11627,93,48,71.3794,35.9269
12897,92,43,74.4094,40.0801
14006,94,51,73.966,40.2232
13058,89,50,72.8759,39.5506
10921,87,45,70.7678,37.3684
13513,96,51,74.3604,38.4424
12102,96,51,72.9359,35.7728
13481,97,62,75.3413,39.048
13804,92,55,72.1882,39.993
10671,86,46,70.3203,35.3674
12820,93,50,73.3353,39.7137
14054,94,60,73.6286,41.7097
11433,93,47,73.3173,35.0961
13545,96,52,75.1702,41.3634
13535,96,49,74.012,39.5025
13343,93,53,72.2763,37.6997
12551,91,48,73.3463,39.0761
12511,95,47,73.042,38.3904
12762,93,55,70.6356,37.8519
13070,92,42,76.2583,40.4805
12171,93,54,74.3584,39.7387
11911,88,47,72.2723,38.5175
12600,94,51,73.0721,37.7457
14203,97,55,75.7708,43.1311
13407,92,48,73.5876,41.2392
13032,94,49,75.6466,40.972
12710,91,45,73.4084,36.2202
13665,94,54,71.5816,37.1191
13794,97,56,75.2052,40.7007
13791,92,41,74.4605,38.2202
13088,96,55,72.3083,37.7818
13838,93,52,75.1271,40.7117
11887,90,48,70.9159,36.3213
12355,96,54,71.1512,36.0781
13032,94,43,74.8288,39.3654
13028,97,46,75.1401,39.2553
13325,93,51,72.6917,39.7828
12663,93,49,72.6326,40.3133
11099,90,45,72.7447,37.4264
13298,92,52,73.2813,38.3053
11647,89,46,69.9319,36.0821
12689,91,37,71.3784,36.0711
12925,90,48,73.5405,38.2152
13906,94,53,74.7738,41.4494
12902,94,56,71.3514,39.3704
12127,93,47,74.8769,37.5495
13096,95,57,73.022,39.7047
12916,91,51,71.2222,37.8488
12103,89,40,72.0541,37.0591
12948,95,53,72.5676,36.958
12752,95,49,74.4785,39.022
11547,94,53,70.3433,34.8659
13820,96,49,75.3463,40.0761
12501,93,48,73.3323,40.3423
13059,95,55,72.6987,38.01
13138,93,55,73.0651,40.8589
12411,90,41,73.1401,36.8448
11304,91,50,70.9129,36.8829
11477,92,44,71.9309,34.7127
12473,94,50,74.6997,39.8238
12751,92,41,74.6466,37.955
12743,89,50,72.4725,40.014
13687,94,53,74.2963,41.4444
12146,95,57,73.8398,38.8348
12538,92,58,70.7157,38.9439
13084,98,57,75.9199,40.5265
13469,94,51,71.3894,38.1321
12696,91,50,71.1952,35.8699
13577,94,47,73.5015,39.3163
13024,93,45,75.3373,39.0861
13003,93,51,73.3133,40.024
12097,90,45,73.2322,39.9019
12823,94,50,73.7808,40.1662
12242,93,49,70.98,34.3413
12263,88,42,72.6066,37.7858
11185,92,45,71.5756,35.998
12483,89,47,69.3944,35.3373
12136,93,49,74.009,38.5055
13543,93,50,72.8619,38.8258
13836,96,58,73.016,39.5465
12049,93,42,73.8498,37.6527
13081,93,55,73.8198,40.0861
13434,97,51,75.04,41.4414
12519,95,54,75.1371,39.7467
11174,90,53,70.6667,36.5385
11781,92,47,73.4424,36.7277
13149,97,49,75.8208,38.5716
12718,94,47,72.1832,37.4004
13195,93,53,73.4424,39.0601
13222,93,47,72.4845,39.4865
14211,97,56,75.7658,42.3333
12262,88,38,71.4765,35.8428
13221,95,52,72.5295,40.3684
12458,91,46,73.3604,38.3473
13225,92,43,73.2723,37.4284
11271,90,42,72.4314,35.0641
12696,96,48,73.5175,38.6907
12504,91,41,73.8919,38.8368
12113,92,49,72.1291,34.7307
12370,92,49,71.3834,36.6076
13723,94,50,75.8569,42.4525
12375,94,48,72.7287,37.7838
12210,90,49,72.8789,37.7287
12073,95,45,73.9289,37.3313
13484,94,53,73.8529,39.9319
13033,94,45,73.3794,35.5215
12432,94,57,71.1221,39.7908
12248,92,46,71.6206,36.8288
13450,95,52,74.7948,40.2853
14002,97,54,73.983,39.5065
12358,95,52,74.6266,39.0951
13199,92,47,73.3123,38.8839
12982,96,54,73.2573,38.8999
13608,94,52,74.0551,38.0891
12585,94,48,74.1011,38.4845
12735,91,46,70.8989,38.1692
13175,94,55,73.4324,40.048
11863,81,39,71.038,37.6196
12991,94,52,73.8889,38.953
13329,96,47,75.1882,38.9089
12594,93,44,72.002,37.042
13819,99,47,75.5475,39.988
13477,95,50,73.2082,37.2472
11206,90,46,70.3784,34.6286
12556,97,53,74.1041,40.4134
12454,94,55,71.6507,38.4334
13995,94,55,75.3013,42.8809
11806,98,53,75.2192,37.8198
12615,97,49,75.8989,40.5255
13304,96,52,73.049,38.003
11944,95,46,72.4364,35.8699
12923,92,50,72.1732,37.2663
12656,93,56,69.956,37.2052
13272,94,46,74.0731,37.7067
12704,94,48,74.3624,40.1481
13216,95,52,75.1321,38.988
11932,91,44,70.5736,36.6967
12244,95,55,76.3584,40.2022
13490,96,48,75.6466,40.4515
12335,87,45,72.3524,37.6216
12181,88,45,71.046,35.7307
13361,97,55,75.2092,42.5806
13591,95,49,76.1672,41.4194
13538,95,57,73.8539,41.2503
13038,95,50,73.6787,40.013
13292,97,56,73.2543,39.3724
13454,96,56,74.8168,40.4755
13380,92,49,72.7628,37.8168
11754,90,45,70.8188,35.1832
12535,94,45,72.2382,35.1431
13378,94,52,75.4865,41.981
12232,87,43,70.8929,36.1001
13105,94,52,74.4254,38.3924
12868,97,50,74.7988,37.6997
13514,91,44,74.5115,41.1041
12964,94,44,72.978,37.4344
12551,92,51,70.9469,37.5786
14557,97,57,75.993,42.4595
14425,97,62,74.008,41.0571
11970,96,50,73.3043,34.7317
13931,94,45,75.1161,39.6066
13654,95,52,75.4344,40.4044
12551,91,45,73.046,39.1632
13752,91,47,73.994,40.5025
14096,96,52,76.7788,43.3644
12835,93,50,72.6176,39.037
12754,96,47,73.9069,38.3053
13694,95,53,74.7808,41.4294
12692,91,44,73.1301,37.976
12338,92,46,73.0771,37.9259
12918,96,54,75.003,39.9399
11668,90,48,71.4334,37.4264
15102,98,59,75.1732,41.7057
13197,92,54,73.3243,40.974
12836,95,56,72.8939,37.3594
13127,96,53,72.3544,39.5766
14257,98,60,74.8378,40.7057
12790,93,47,74.0541,38.7477
13242,95,53,73.047,37.6637
13304,95,57,72.7828,39.033
13836,97,57,73.969,40.4955
13377,92,47,72.8529,39.3223
12402,93,48,72.5956,38.3504
13048,95,50,76.7798,41.6336
13301,97,53,71.1532,37.4184
12515,95,47,75.4725,37.7718
12266,96,55,72.1161,35.3413
12804,93,48,74.1321,38.5135
12122,94,45,73.0841,37.6196
14619,99,54,75.0531,40.6346
12671,93,44,73.4775,39.2633
13273,100,59,74.8348,40.1311
13212,92,50,73.1592,40.8899
13687,95,49,73.6567,37.1872
11993,94,51,70.5435,37.1351
11495,90,38,72.3243,34.987
13219,93,52,74.6336,41.1512
13772,98,51,76.961,40.3504
13326,93,49,74.4535,40.5816
12010,91,50,73.2563,38.5365
12059,96,48,72.2983,37.4785
