objective,sim_node_best,sim_edge_best,sim_node_avg,sim_edge_avg
3466,89,44,67.1411,31.6106
2546,89,50,68.5646,33.3003
2586,86,43,69.2583,35.3113
3073,86,42,66.7467,33.0981
3232,93,54,71.0991,37.2232
3844,91,50,68.3574,33.0551
1780,88,47,65.8238,32.3223
3032,87,48,66.6166,32.6306
3120,89,54,69.5746,34.951
4345,89,55,67.2543,34.6967
4281,86,48,69.0691,37.1952
3140,90,47,69.4565,34.3594
3237,84,41,67.2232,33.8378
3067,90,51,66.4394,31.4875
3296,90,51,67.7037,33.4775
2602,88,49,67.1161,33.7277
3263,88,46,67.0541,33.0831
4200,89,56,70.2763,36.9299
2191,87,39,68.6086,32.5946
3758,95,56,69.9229,36.2152
3641,87,52,65.7808,33.6336
2413,89,39,68.8118,32.6476
3149,89,52,67.1421,34.2823
3803,91,55,69.015,35.7518
4126,89,51,68.3544,35.6547
2886,87,46,67.2162,32.5606
3468,86,46,69.002,36.4274
2897,91,54,66.3754,32.2703
3151,90,45,69.5155,33.1481
2697,86,43,68.7067,34.4424
3358,91,49,68.2032,33.978
2958,86,46,67.7027,33.2793
4995,88,55,67.1221,35.7387
3614,89,45,65.6376,31.4645
2195,85,43,67.5646,29.987
3172,90,49,67.96,35.3343
3703,91,59,68.2683,35.1942
3101,85,48,68.4895,35.5586
4692,89,54,66.6847,34.6727
2706,84,44,66.3033,34.3333
3235,94,50,66.3333,33.3834
4391,92,59,68.5926,35.0981
2500,91,48,67.4084,33.981
3740,91,52,67.8118,35.8098
4662,94,55,72.9479,39.5305
2811,89,48,67.5516,34.3193
3593,92,52,69.7237,35.6276
3766,89,49,67.2693,33.964
2626,87,46,68.1502,33.6847
2657,84,43,67.5746,33.8458
3570,89,50,69.4945,36.8879
2866,87,44,68.2833,33.2883
3500,90,44,69.9229,34.8348
3075,85,44,67.2202,32.5846
2532,90,47,68.4505,33.1922
3125,88,49,69.1411,33.8789
4356,91,54,67.97,36.016
4706,87,52,68.7998,37.4274
3920,88,47,67.2963,33.2072
2854,86,52,67.3423,35.0541
3566,85,48,68.5005,34.7988
3322,89,46,69.2002,33.03
4424,92,58,69.5616,35.4555
3803,93,58,69.5556,35.2362
2930,87,42,69.1902,33.1522
2643,91,51,70.03,34.7097
2816,83,47,65.9399,33.1612
3881,90,51,68.2122,34.0821
2940,93,56,67.3574,34.7257
2696,89,50,65.4404,30.2553
4275,89,50,69.5105,34.2412
3220,91,51,68.4104,34.8519
2899,90,50,69.6476,34.8398
3148,92,50,68.018,34.4024
3900,93,50,68.9179,34.2222
3419,89,49,68.014,33.7417
2971,82,47,65,32.5596
4518,91,56,69.2272,36.9179
2952,89,50,67.1812,32.1942
3841,83,49,65.6026,33.9129
3268,81,43,64.9239,32.8969
3688,94,52,68.2042,34.7157
1729,87,42,66.7037,32.1341
2611,86,46,67.2292,33.1702
2987,89,52,67.8068,33.3654
3909,87,50,68.9449,36.2372
3825,88,54,68.8108,35.2232
2940,85,50,66.1041,32.006
2884,86,45,67.6396,33.2543
3918,91,50,68.4875,34.0751
2939,88,42,68.7397,32.3714
3634,91,49,69.2302,32.7267
2788,90,47,70.3273,35.6557
4573,90,53,66.8028,35.7998
3254,89,55,66.7758,34.1251
2540,87,43,68.024,32.3514
1102,89,46,67.3493,31.1612
2985,92,50,70.1101,33.3804
2901,90,50,68.4254,33.9129
2500,84,49,64.8128,31.4775
4026,89,52,68.8408,35.3183
3130,87,47,67,34.7768
787,88,39,66.0921,28.2783
2932,90,53,68.5155,34.3854
4812,91,54,69.5546,37.4164
3319,92,55,68.6196,33.4795
1902,87,45,65.9389,32.019
2955,88,43,70.3514,33.8839
3862,89,52,69.6857,36.1642
2775,85,41,67.7227,32.7678
3701,90,61,66.3574,34.981
2697,88,44,69.4865,33.1802
3078,83,48,67.0861,33.3083
2758,84,38,67.999,33.7167
2997,88,50,67.4655,33.3173
4901,87,52,67.024,35.2152
2928,92,50,68.969,33.6356
2569,88,45,66.7137,33.2172
4012,89,44,67.7337,32.8478
2884,88,48,67.6837,32.4595
2782,84,43,67.4635,34.016
3693,91,56,67.998,33.2613
4232,92,52,67.989,33.992
4037,84,47,68.9169,36.9269
1561,85,42,65.036,31.6086
3418,87,44,68.4334,33.4835
2032,86,44,68.7728,33.008
3951,90,52,68.6807,34.0501
3315,85,45,68.4124,34.2783
4637,90,55,68.016,36.6086
2698,90,46,66.9039,32.5846
2344,82,45,67.1161,33.8819
4560,94,56,69.1832,35.033
2577,83,46,66.3684,32.6316
4138,86,49,66.3003,33.979
1742,86,46,63.4354,29.8779
3705,93,56,66.8589,32.3313
3699,88,45,68.3163,34.4064
2734,94,52,69.3974,34.7598
3391,85,45,66.5355,32.8068
4645,91,56,70.998,38.2062
2673,89,50,67.963,34.4855
3670,88,51,67.4615,34.2533
3353,86,48,68.998,35.8799
2650,87,45,67.8278,32.957
3452,91,52,69.2913,32.8148
3985,91,48,68.3243,33.8869
2796,85,41,66.4775,32.5125
4110,91,52,67.2322,33.7748
3224,89,52,67.6887,33.7548
3284,91,49,69.1582,34.975
2362,89,45,67.3934,31.9389
3389,90,50,70.5165,36.0551
4218,95,63,70.3373,36.0791
1869,85,44,65.7918,31.2953
3545,89,50,69.2062,34.6156
2530,88,55,66.6977,32.6326
3822,94,55,69.047,33.8649
3291,92,52,68.6707,33.993
3185,87,45,66.3413,32.8398
3805,90,52,70.6046,36.3894
2837,89,40,69.3924,32.7738
3559,90,48,69.028,35.7357
2853,87,41,66.98,32.1271
4084,86,49,68.1291,34.7558
2695,90,51,69.1972,34.1391
3978,86,48,68.6717,34.6977
4343,89,53,68.1632,34.4945
3964,92,54,69.0721,34.5756
3816,91,47,68.3844,33.2302
3087,88,48,69.7958,35.6356
2832,86,48,66.7658,34.3754
2895,91,49,69.5586,34.5626
3274,88,45,67.2563,32.3554
2549,86,42,65.9449,31.0651
4594,93,51,70.3604,36.0591
2944,84,46,66.993,34.3884
3651,90,50,68.036,34.8659
1673,83,39,67.2773,31.5145
3257,89,52,68.1942,34.3473
2004,88,44,68.1672,33.023
2958,90,48,69.3093,33.6226
3727,88,48,68.1622,34.3203
2395,87,48,67.8488,33.6597
4105,90,54,69.3223,36.9119
2592,91,43,69.7207,32.2172
2790,92,52,67.1832,31.0591
2714,87,46,67.1622,32.4434
2933,91,45,69.3353,33.9349
2127,85,47,66.5285,31.9279
2222,86,44,66.5846,32.6206
3343,87,52,67.4104,33.5325
4135,95,49,70.2042,34.6577
4550,89,49,68.4294,34.6677
3444,90,42,70.6016,35.4244
3827,91,51,71.1031,37.6086
3361,92,49,69.7157,33.1191
2664,86,44,66.4004,32.5155
1756,88,47,68.4715,32.9379
2685,86,43,65.8689,32.009
2586,84,47,66.3363,32.0741
4183,93,49,68.4635,34.3303
2972,86,46,67.8388,34.8919
2927,88,45,68.956,33.3794
4084,88,47,69.8188,35.1862
3367,90,47,67.6146,33.5906
