objective,nodes_to_best,edges_to_best,nodes_avg,edges_avg
2000,155,86,170.965,76.3133
5681,153,87,170.297,79.4304
6877,152,93,170.058,81.02
4544,155,93,176.289,82.5876
-7164,156,76,176.937,74.7257
3207,156,85,175.973,82.6867
-1765,156,88,175.398,81.7347
2107,155,98,174.278,81.7497
1160,154,92,173.847,80.2162
2852,154,87,174.465,75.0511
219,155,91,173.97,81.8328
6131,152,94,170.611,83.2853
338,155,82,176.325,75.5035
6962,154,93,170.942,86.1892
-1923,155,83,172.758,74.9489
-1140,156,95,176.16,81.5375
1100,155,79,174.909,81.1952
3399,152,79,172.072,74.5005
-85,156,92,177.089,82.8939
4253,156,97,173.978,81.3524
9480,155,108,172.55,84.8098
4109,155,91,176.607,85.1702
3721,154,94,172.823,81.6617
9382,155,100,174.727,88.994
8058,154,87,171.355,80.5275
7647,151,98,168.301,78.6637
5268,154,98,173.135,81.1632
1592,155,85,171.962,77.8248
3844,156,97,179.41,87.9489
4146,154,103,175.352,89.3383
4016,155,87,178.016,84.6336
3431,156,90,177.014,82.8048
7100,156,116,175.199,87.6997
4341,155,99,174.341,88.8539
7688,154,85,173.605,81.8729
6211,151,90,167.356,76.6967
6662,155,100,171.635,84.4184
61,154,85,175.535,79.1632
5795,154,95,173.433,80.4424
1995,156,86,173.904,80.0661
5347,156,93,173.375,81.5886
8306,153,100,169.598,83.0871
5732,154,80,176.472,80.6006
-8491,156,81,180.124,80.7978
6792,155,87,172.588,80.6857
1939,155,81,174.117,79.8629
1168,156,92,177.234,82.5145
-3175,156,80,177.447,76.992
6414,154,82,170.795,72.5175
3462,156,95,178.182,81.4665
4573,154,97,173.808,82.993
4384,154,91,169.336,80.9489
2318,155,97,174.42,84.2983
8433,156,97,173.056,86.1852
6625,155,80,173.359,81.999
-442,155,84,176.333,81.9109
-2543,153,89,173.714,78.7317
3067,153,86,172.119,78.3403
6017,154,84,170.754,77.5105
6181,154,97,171.621,81.1271
4861,155,84,173.497,81.5726
7854,153,89,170.663,78.5716
5519,153,85,173.032,76.5546
-1849,154,92,175.832,80.7347
-473,156,85,174.427,79.6156
8923,155,99,169.998,85.029
2946,154,91,172.063,76.7668
1996,154,95,174.827,85.009
-4537,153,81,174.918,80.1051
-10037,156,86,176.246,78.6537
-2094,154,79,174.79,72.011
1048,155,88,175.02,81.2402
2857,156,92,175.512,82.6867
8956,155,87,174.667,79.5546
4953,156,89,172.868,79.0971
-2906,155,95,173.915,77.6466
1466,154,89,172.348,81.4935
-136,152,84,172.299,75.7387
-855,156,93,174.06,79.974
6594,154,96,170.192,85.4565
9326,155,90,171.036,80.5736
10959,151,98,169.141,84.8839
5800,155,95,170.81,82.2242
5620,154,89,171.689,80.4575
3328,156,93,177.885,81.8228
4893,154,99,170.795,79.3534
1870,155,84,173.7,79.7908
3388,154,95,175.444,86.3574
527,155,93,175.925,82.2983
3327,155,91,175.744,84.3453
8656,152,96,169.026,78.7037
1301,154,95,172.058,82.9309
7768,155,92,174.912,84.027
696,153,99,174.819,83.2392
4395,156,88,178.024,80.7638
6399,154,97,171.104,84.967
7286,153,95,167.015,79.962
-1942,155,85,176.472,81.6486
2385,156,84,178.486,81.027
4696,149,83,168.194,77.2122
3634,155,92,168.983,80.6507
8162,152,102,171.006,84.9189
6450,154,93,171.483,80.2523
7176,155,96,171.738,82.7177
-2519,155,90,174.892,78.001
3993,153,87,173.923,81.5115
-140,153,80,170.533,72.4805
2419,154,89,175.669,81.2262
5657,156,100,174.531,85.0821
-1646,154,90,173.593,79.5706
4029,154,104,169.543,82.9119
5939,155,95,171.486,84.1171
307,156,90,176.591,81.1401
395,154,88,176.265,82.2763
2168,156,89,174.493,77.7988
4013,154,96,175.332,82.8208
2856,155,94,174.501,79.6036
6371,155,101,172.692,80.6416
-4709,153,89,175.421,79.7057
2747,153,89,168.942,80.2412
3525,155,88,175.671,78.7988
-1197,156,89,176.936,81.979
5420,153,95,172.171,80.8428
-1679,156,97,177.927,85.1121
4269,156,91,173.866,83.2513
5633,153,93,172.11,84.4234
3761,153,82,173.506,80.1782
9890,154,101,171.841,86.044
5390,155,94,174.031,80.5936
-1802,155,89,176.654,75.4505
6279,155,84,175.866,81.8589
3476,156,96,171.4,80.2432
4835,153,88,171.889,80.5926
2728,153,88,172.027,74.8188
-3122,153,86,174.152,78.1512
3411,156,86,174.356,77.5245
-4449,153,69,175.148,68.3574
1974,151,88,172.611,81.2262
4240,154,93,172.835,84.1972
-5476,155,90,175.983,82.1612
9062,153,108,171.71,89.022
4533,155,92,174.623,80.7748
3748,150,80,164.653,73.8969
2093,154,92,171.564,78.7518
